Id,Name,Description,TaskWeight
1,Design database schema,"Create the relational schema for users, vendors, admins, products, images, permissions, product views, orders, bookmarks, and purchase history.",7
2,Implement real-time socket communication,"Set up a SignalR hub (or equivalent) on the .Net Core backend and a JavaScript client to broadcast events such as product approval, purchase notifications, and permission changes.",6
3,user registration,Provide a frontend form for vendors to submit registration data and a backend endpoint that stores the pending vendor account.,5
4,Admin approve vendor registration,Create a backend operation and admin UI to change a pending vendor account status to approved.,4
5,Admin reject vendor registration,Create a backend operation and admin UI to change a pending vendor account status to rejected.,4
6,user login,"Implement a login page for Admin, Vendor, and Customer and a backend authentication service that issues JWT tokens.",5
7,user logout,Provide a logout mechanism that clears the authentication token on the client and invalidates it on the server if needed.,3
8,Enable vendor permission,Backend service and admin UI to turn on a specific permission (feature) for a vendor role or an individual vendor.,4
9,Disable vendor permission,Backend service and admin UI to turn off a specific permission (feature) for a vendor role or an individual vendor.,4
10,Vendor create product post,"Frontend form for vendors to enter product details (title, description, price, images, units, etc.) and backend endpoint to store the new product as pending.",6
11,Vendor list/manage own products,Display a vendor’s products with pagination and provide UI controls for edit/delete; backend returns the vendor’s product list.,4
12,Vendor update product details,Backend endpoint and frontend form to modify any mutable fields of an existing product.,5
13,Vendor delete product,Backend operation and UI button that removes a product record permanently.,4
14,Vendor update product inventory,Backend service and UI control to change the Number of available units for a product.,4
15,Admin accept product post,Backend operation and admin UI to mark a vendor-submitted product as approved so it becomes visible to customers.,4
16,Admin reject product post,"Backend operation and admin UI to mark a vendor-submitted product as rejected, preventing it from being shown.",4
17,Admin enable auto-approval for vendor,Backend setting and admin UI that automatically approves all future product posts from a selected vendor.,3
18,Customer view all posted products,Frontend page that fetches and displays every approved product; backend endpoint returns the product list.,3
19,Customer search products,Implement search UI with filters for category and price range and a backend query that returns matching products.,4
20,Record product view count,Backend increment of the Number of viewers each time a customer opens a product detail page; frontend triggers the increment.,3
21,Customer purchase product,"Frontend checkout flow and backend order processing that validates stock, decrements inventory, creates an order record, and prevents purchase when units are zero.",7
22,Customer save (bookmark) product post,Frontend button to mark a product as saved and backend endpoint to store the bookmark for the customer.,3
23,Vendor view purchase history for a product,Backend query and frontend table that shows all customers who bought a specific product and their purchase details.,5
24,Overdue Notifications,"Write a PL/SQL procedure that identifies students with overdue books and logs notification details into the NotificationLogs table. Check for books overdue more than 7 days and include student ID, book ID, overdue days, and notification date.",3
25,Dynamic Late Fee Calculation,"Write a PL/SQL function that calculates late fees based on overdue days and book type. Takes borrow_record_id as input, calculates fee ($1/day for regular books, $2/day for reference books), saves to Penalties table, and returns the fee.",4
26,Borrowing Validation Trigger,"Create a PL/SQL trigger that prevents a student from borrowing a book if they have overdue books or reached the borrowing limit (e.g., 3 books). Raises an exception to prevent invalid borrowing.",4
27,Audit Trail for Borrowing Records,"Create BEFORE UPDATE and BEFORE DELETE triggers to log modifications or deletions of borrowing records into AuditTrail table. Capture table name, operation type, old data, new data, and timestamp.",3
28,Borrowing History Report,"Write a PL/SQL cursor that retrieves a student’s borrowing history including overdue books and penalties. Input: student_id. Output: book title, borrow date, return date, status, and associated penalties.",3
29,Safe Return Process with Transactions,"Write a PL/SQL block to handle returning multiple books in one transaction. Check for overdue penalties, ROLLBACK on errors, update BorrowingRecords and Penalties tables if successful.",5
30,Books Availability Report,"Write a PL/SQL block to generate a detailed report of book availability. Include current status (available, borrowed, overdue), borrower info if borrowed, overdue days, and display in readable format using DBMS_OUTPUT.",3
31,Automated Suspension,"Create a PL/SQL procedure to automatically suspend students whose unpaid penalties exceed a threshold (e.g., $50). Updates membership_status to 'suspended' in Students table.",4
32,User Management and Privileges,Create a Manager user to grant two users roles. User 1 creates Books and BookTypes tables. User 2 inserts 5 rows of book details and types into tables.,2
33,Blocker-Waiting Situation,"Demonstrate a blocker-waiting scenario with two transactions. User 1 locks BorrowingRecords while updating, User 2 tries to insert penalty for the same record. Display how the session waits.",4
34,Identifying Blocker and Waiting Sessions,Identify sessions in blocker-waiting scenario using SID and SERIAL# for blocker and waiting sessions. Display session details and explain resolution.,3
35,Deadlock Demonstration,"Demonstrate deadlock scenario: User 1 updates Books while trying to lock BorrowingRecords, User 2 updates BorrowingRecords while trying to lock Books. Show handling using rollback mechanisms.",5
36,Build positional index using MapReduce,Implement a MapReduce job in Java that reads the dataset and constructs a positional inverted index with term positions within each document.,7
37,Display positional index,"Format and display each term with its document IDs and positions in the required structure <term doc1: pos1, pos2; doc2: pos1, pos2; ...>.",3
38,Compute term frequency (TF),Calculate the frequency of each term in each document using the positional index output and display TF values.,4
39,Compute inverse document frequency (IDF),Compute IDF for each term based on the number of documents containing the term and display results.,4
40,Compute TF-IDF matrix,Compute TF-IDF values for each term-document pair and display the resulting matrix.,5
41,Implement phrase query with Boolean operators,Build a query system that supports phrase queries with AND and AND NOT operators using the positional index.,6
42,Compute similarity between query and documents,Compute cosine similarity between query and matched documents using TF-IDF vectors.,5
43,Rank documents,Sort documents based on similarity scores in descending order.,3
44,Return relevant documents,Return ranked list of relevant documents as final output.,3
45,Implement User Service backend with REST API,"Design and implement a User microservice exposing RESTful endpoints for user registration, authentication, and profile management, ensuring proper validation and data persistence.",7
46,Implement Order Service backend with REST API,"Develop an Order microservice with REST APIs to handle order creation, updates, and tracking, including validation of user and product data.",7
47,Implement Product Service backend with REST API,"Build a Product microservice providing RESTful APIs for managing product catalog, including CRUD operations and inventory handling.",7
48,Containerize microservices using Docker,"Create Dockerfiles for each microservice defining runtime environment, dependencies, and startup commands to ensure consistent deployment.",5
49,Create docker-compose orchestration,"Configure docker-compose to orchestrate all services including microservices, Kafka broker, and databases within a unified network.",6
50,Implement Kafka event producer,Develop Kafka producers within microservices to publish domain events such as UserRegistered and OrderPlaced to appropriate Kafka topics.,8
51,Implement Kafka event consumer,"Implement Kafka consumers to subscribe to topics and process incoming events asynchronously, enabling inter-service communication and data consistency.",8
52,Define JSON schemas for events,Design and document structured JSON schemas for event payloads to ensure consistency and validation across all Kafka messages.,4
53,Build React frontend for API interaction,"Develop a React-based frontend application to interact with backend APIs, enabling users to manage products, orders, and user accounts through a user-friendly interface.",7
54,Design and implement Ethereum voting smart contract,"Write a Solidity contract that records votes, enforces one-vote-per-voter, tallies results, and guarantees immutability on the Ethereum blockchain.",8
55,Develop frontend UI for casting votes,Create React components that let authenticated users select a candidate and submit their vote securely.,6
56,Implement user registration endpoint,"Build a Node.js API that registers new users, hashes passwords, and stores user records.",5
57,Implement user login endpoint,"Create a Node.js API that authenticates users, verifies credentials, and issues JWT/session tokens.",5
58,Implement user logout endpoint,Provide a Node.js API that invalidates user tokens or clears server-side sessions.,4
59,Backend service for blockchain interaction,"Implement Node.js functions that connect to the Ethereum network, deploy/interact with the voting smart contract, and submit vote transactions.",7
60,Integrate frontend vote submission with backend blockchain service,"Connect the React vote UI to the Node.js API, send selected candidate data, handle blockchain response, and display confirmation to the user.",6
61,Connect application to MongoDB server,Establish connection between Python application and MongoDB server.,5
62,Create collections in MongoDB,Create and manage collections programmatically.,4
63,Insert documents with multiple data types,"Insert documents containing arrays, objects, and numbers.",5
64,Implement update operations,"Perform updates using $set, $push, and $inc.",6
65,Implement delete operations,Delete documents using filters.,4
66,Perform advanced find queries,Execute complex queries using logical and array operators.,6
67,Create Indexes,"Create single-field, compound, and unique indexes.",3
68,Perform aggregation operations,Use aggregation pipeline to calculate values like totalGrade.,7
69,Insert documents manually using MongoDB Compass or mongosh,Insert documents manually using MongoDB tools.,3
70,Create one-to-many relationships,Design relationships between collections manually.,4
71,Perform lookup joins,Use $lookup to join collections.,6
72,Group and aggregate data,Use $group to summarize data.,5
